timestamp,user,event,ip_address,is_privileged_user,keyword_match_count,has_ip,is_external_ip,indicator_count,risk_score,label
2025-07-23 04:28:57,alice,Suspicious traffic from external source,45.33.32.156,False,1,True,True,3,0.75,HIGH
2025-12-24 14:05:00,isabel,"Multiple failed login attempts: suspicious attack pattern, connection denied",0.0.0.0,False,6,False,False,6,1.0,HIGH
2025-07-31 21:32:16,admin,Escalation to root attempted from external host,46.101.60.130,True,1,True,True,4,1.0,HIGH
2025-06-26 07:25:48,nathan,Printer job submitted: invoice_627.pdf,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-10-15 16:32:25,isabel,Malicious login attempt from external source,185.220.101.45,False,2,True,True,4,1.0,HIGH
2025-05-07 17:21:15,svc_api,Log rotation completed: archived 193 files,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-04-10 14:31:36,james,Malicious packet received from external address,185.220.101.45,False,1,True,True,3,0.75,HIGH
2025-12-31 12:26:19,nathan,Login attempt denied due to expired credentials,0.0.0.0,False,2,False,False,2,0.5,MEDIUM
2025-05-17 07:12:34,nathan,Suspicious login attempt detected from shared terminal,0.0.0.0,False,2,False,False,2,0.5,MEDIUM
2025-08-07 10:03:12,karen,HR portal accessed: payslip viewed,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-02-08 14:40:46,karen,Unauthorized access attempt from external host,52.86.16.25,False,1,True,True,3,0.75,HIGH
2025-06-23 01:31:34,admin,Admin escalation attempt: failed and logged as suspicious,0.0.0.0,True,2,False,False,3,0.75,HIGH
2025-03-05 04:31:14,frank,Printer job submitted: invoice_272.pdf,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-03-06 18:38:52,frank,Malicious packet received from external address,172.99.10.44,False,1,True,True,3,0.75,HIGH
2025-12-15 12:41:57,bob,Connection refused to service on port 8080,0.0.0.0,False,1,False,False,1,0.25,MEDIUM
2025-03-13 23:16:13,frank,Unauthorized access attempt from external host,31.13.64.35,False,1,True,True,3,0.75,HIGH
2025-02-22 11:01:39,admin,Privilege escalation via sudo from external node,194.165.16.11,True,3,True,True,6,1.0,HIGH
2025-07-20 17:02:51,grace,Login attempt from internal machine,127.0.0.1,False,1,True,False,2,0.5,MEDIUM
2025-10-24 06:46:10,karen,User logged out after 106 minutes,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-03-04 04:44:52,james,Two-factor authentication setup completed,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-09-07 03:40:45,mary,Login attempt denied due to expired credentials,0.0.0.0,False,2,False,False,2,0.5,MEDIUM
2025-10-06 05:05:04,svc_monitor,Monitoring agent heartbeat received,0.0.0.0,False,0,False,False,0,0.0,LOW
2025-04-06 06:24:55,emma,Denied connection from external node,198.51.100.22,False,1,True,True,3,0.75,HIGH
