url,url_length,has_https,has_ip_address,uses_shortener,suspicious_keyword_count,suspicious_tld,special_char_count,subdomain_count,digit_count,label
https://mailchimp.com/help/create-a-campaign,44,True,False,False,0,False,2,0,0,LOW
https://userportal.com/confirm-email,36,True,False,False,1,False,1,0,0,MEDIUM
https://slack.com/archives/C01234567,36,True,False,False,0,False,0,0,0,LOW
https://www.behance.net/gallery/123456789/brand-design,54,True,False,False,0,False,1,1,0,LOW
http://172.16.10.1/login/verify/portal/identity,47,False,True,False,2,False,0,2,8,HIGH
https://mysite.com/login-portal,31,True,False,False,1,False,1,0,0,MEDIUM
https://ow.ly/resourcelink,26,True,False,True,0,False,0,0,0,MEDIUM
https://www.eventbrite.com/e/tech-conference-2025,49,True,False,False,0,False,2,1,0,LOW
https://trello.com/b/projectboard/sprint-4,42,True,False,False,0,False,1,0,0,LOW
https://clientzone.net/verify-details,37,True,False,False,1,False,1,0,0,MEDIUM
https://corporate-hr.com/staff-login,36,True,False,False,1,False,2,0,0,MEDIUM
https://userportal.com/confirm-email,36,True,False,False,1,False,1,0,0,MEDIUM
http://192.168.1.105/login/verify,33,False,True,False,2,False,0,2,10,HIGH
https://staffportal.org/password-reset,38,True,False,False,1,False,1,0,0,MEDIUM
https://members.clientsite.ml/portal-login,42,True,False,False,1,True,1,1,0,MEDIUM
http://hr-system.company.org/employees,38,False,False,False,0,False,1,1,0,MEDIUM
http://portal.bank-verify.tk/identity/confirm,45,False,False,False,3,True,1,1,0,HIGH
https://www.tripadvisor.com/restaurant-review-123,49,True,False,False,0,False,2,1,0,LOW
https://corporate-hr.com/staff-login,36,True,False,False,1,False,2,0,0,MEDIUM
http://internal-tools.corp.com/dashboard,40,False,False,False,0,False,1,1,0,MEDIUM
http://reset.verify-portal.ga/login/bank/identity,49,False,False,False,3,True,1,1,0,HIGH
http://ow.ly/confirm-password-verify,36,False,False,True,3,False,2,0,0,HIGH
https://bit.ly/3pQrStU,22,True,False,True,0,False,0,0,0,MEDIUM
http://ow.ly/confirm-password-verify,36,False,False,True,3,False,2,0,0,HIGH
https://www.netflix.com/browse/genre/sci-fi,43,True,False,False,0,False,1,1,0,LOW
https://userportal.com/confirm-email,36,True,False,False,1,False,1,0,0,MEDIUM
https://goo.gl/maps/xyz123abc,29,True,False,True,0,False,0,0,0,MEDIUM
https://www.hubspot.com/blog/marketing-statistics,49,True,False,False,0,False,1,1,0,LOW
http://oldsite.retailshop.com/catalogue,39,False,False,False,0,False,0,1,0,MEDIUM
http://bankportal.com/login,27,False,False,False,2,False,0,0,0,MEDIUM
http://staffportal.company.com/verify-identity,46,False,False,False,1,False,1,1,0,MEDIUM
http://bit.ly/bank-login-verify-portal-confirm-password-reset-identity-check-now-urgent-step2,93,False,False,True,5,False,11,0,0,HIGH
https://www.semrush.com/blog/seo-tips-2025,42,True,False,False,0,False,2,1,0,LOW
https://mysite.com/login-portal,31,True,False,False,1,False,1,0,0,MEDIUM
https://www.tableau.com/learn/training/elearning,48,True,False,False,0,False,0,1,0,LOW
https://dev.to/user/building-rest-api-with-fastapi,50,True,False,False,0,False,4,0,0,LOW
http://bit.ly/3xYzAbC,21,False,False,True,0,False,0,0,0,MEDIUM
https://ahrefs.com/blog/keyword-research,40,True,False,False,0,False,1,0,0,LOW
http://91.108.4.200/bank/login/verify/portal,44,False,True,False,3,False,0,2,9,HIGH
https://www.grammarly.com/blog/writing-tips,43,True,False,False,0,False,1,1,0,LOW
